C-Name;C-Pin;Module Net Name;FPGA Pin Name
J2;71;GND;---
J2;72;B505_RX0_P;F27
J2;73;NetJ2_73;--
J2;74;GND;---
J2;75;NetJ2_75;--
J2;76;NetJ2_76;--
J2;77;NetJ2_77;--
J2;78;NetJ2_78;--
J2;79;NetJ2_79;--
J2;80;NetJ2_80;--
J2;81;NetJ2_81;--
J2;82;PG_PSGT;--
J2;83;MR;--
J2;84;EN_PSGT;--
J2;85;NetJ2_85;--
J2;86;ERR_STATUS;M20
J2;87;NetJ2_87;--
J2;88;ERR_OUT;P17
J2;89;NetJ2_89;--
J2;90;PLL_SCL;--
J2;91;PG_GT_R;--
J2;92;PLL_SDA;--
J2;93;NetJ2_93;--
J2;94;NetJ2_94;--
J2;95;EN_GT_R;--
J2;96;SRST_B;N19
J2;97;PG_VCU;--
J2;98;INIT_B;P21
J2;99;PS_1V8;---
J2;100;PROG_B;R17
J2;101;EN_PL;--
J2;102;EN_FPD;--
J2;103;MODE3;T20
J2;104;PG_PL;--
J2;105;MODE2;R20
J2;106;LP_GOOD;--
J2;107;MODE1;P20
J2;108;EN_LPD;--
J2;109;MODE0;P19
J2;110;PG_FPD;--
J2;111;GND;---
J2;112;EN_DDR;--
J2;113;V0_P;--
J2;114;PG_DDR;--
J2;115;V0_N;--
J2;116;NetD1_K;M21
J2;117;GND;---
J2;118;GND;---
J2;119;DX_P;U13
J2;120;TCK;R19
J2;121;DX_N;U12
J2;122;TDI;R18
J2;123;GND;---
J2;124;TDO;T21
J2;125;PSBATT;Y18
J2;126;TMS;N21
J2;127;PUDC_B;U7
J2;128;GND;---
J2;129;NetJ2_129;--
J2;130;NetJ2_130;--
J2;131;NetJ2_131;--
J2;132;NetJ2_132;--
J2;133;NetJ2_133;--
J2;134;NetJ2_134;--
J2;135;DDR_1V2;---
J2;136;NetJ2_136;--
J2;137;GND;---
J2;138;LP_DCDC;---
J2;139;GND;---
J2;140;LP_DCDC;---
J2;141;GND;---
J2;142;LP_DCDC;---
J2;143;GND;---
J2;144;LP_DCDC;---
J2;145;GND;---
J2;146;GND;---
J2;147;GND;---
J2;148;GND;---
J2;149;GND;---
J2;150;GND;---
J2;151;GND;---
J2;152;GND;---
J2;153;DCDCIN;---
J2;154;DCDCIN;---
J2;155;DCDCIN;---
J2;156;DCDCIN;---
J2;157;DCDCIN;---
J2;158;DCDCIN;---
J2;159;DCDCIN;---
J2;160;DCDCIN;---
J3;1;GND;---
J3;2;GND;---
J3;3;B25_L7_N;D10
J3;4;B25_L8_N;D11
J3;5;B25_L7_P;E10
J3;6;B25_L8_P;E12
J3;7;B25_L9_N;B10
J3;8;B25_L3_N;G10
J3;9;B25_L9_P;C11
J3;10;B25_L3_P;H11
J3;11;B25_L12_N;C12
J3;12;B25_L4_N;H12
J3;13;B25_L12_P;D12
J3;14;B25_L4_P;J12
J3;15;VCCO_25;B12
J3;16;VCCO_25;B12
J3;17;B25_L2_N;K12
J3;18;B25_L6_N;F11
J3;19;B25_L2_P;K13
J3;20;B25_L6_P;F12
J3;21;B25_L1_N;J10
J3;22;B25_L10_N;A10
J3;23;B25_L1_P;J11
J3;24;B25_L10_P;B11
J3;25;B25_L5_N;F10
J3;26;B25_L11_N;A11
J3;27;B25_L5_P;G11
J3;28;B25_L11_P;A12
J3;29;GND;---
J3;30;GND;---
J3;31;B26_L9_N;G14
J3;32;B26_L3_N;A13
J3;33;B26_L9_P;G15
J3;34;B26_L3_P;B13
J3;35;B26_L4_N;C13
J3;36;B26_L2_N;A14
J3;37;B26_L4_P;C14
J3;38;B26_L2_P;B14
J3;39;B26_L5_N;D14
J3;40;B26_L7_N;F13
J3;41;B26_L5_P;D15
J3;42;B26_L7_P;G13
J3;43;VCCO_26;C15
J3;44;VCCO_26;C15
J3;45;B26_L10_N;H13
J3;46;B26_L1_N;A15
J3;47;B26_L10_P;H14
J3;48;B26_L1_P;B15
J3;49;B26_L12_N;L13
J3;50;B26_L11_N;J14
J3;51;B26_L12_P;L14
J3;52;B26_L11_P;K14
J3;53;B26_L8_N;E15
J3;54;B26_L6_N;E13
J3;55;B26_L8_P;F15
J3;56;B26_L6_P;E14
J3;57;GND;---
J3;58;GND;---
J3;59;B224_CLK0_N;Y5
J3;60;NetJ3_60;--
J3;61;B224_CLK0_P;Y6
J3;62;NetJ3_62;--
J3;63;GND;---
J3;64;GND;---
J3;65;NetJ3_65;--
J3;66;NetJ3_66;--
J3;67;NetJ3_67;--
J3;68;NetJ3_68;--
J3;69;GND;---
J3;70;GND;---
J3;71;MIO19;AE19
J3;72;MIO13;AH18
J3;73;MIO20;AD19
J3;74;MIO14;AG18
J3;75;MIO21;AC21
J3;76;MIO15;AE18
J3;77;MIO22;AB20
J3;78;MIO16;AF18
J3;79;MIO23;AB18
J3;80;MIO17;AC18
J3;81;MIO24;AB19
J3;82;MIO18;AC19
J3;83;MIO25;AB21
J3;84;NetJ3_84;--
J3;85;GND;---
J3;86;GND;---
J3;87;MIO32;J16
J3;88;MIO26;L15
J3;89;MIO33;L16
J3;90;MIO27;J15
J3;91;MIO34;L17
J3;92;MIO28;K15
J3;93;MIO35;H17
J3;94;MIO29;G16
J3;95;MIO36;K17
J3;96;MIO30;F16
J3;97;MIO37;J17
J3;98;MIO31;H16
J3;99;GND;---
J3;100;GND;---
J3;101;MIO44;J20
J3;102;MIO38;H18
J3;103;MIO45;K20
J3;104;MIO39;H19
J3;105;MIO46;L20
J3;106;MIO40;K18
J3;107;MIO47;H21
J3;108;MIO41;J19
J3;109;MIO48;J21
J3;110;MIO42;L18
J3;111;MIO49;M18
J3;112;MIO43;K19
J3;113;MIO50;M19
J3;114;MIO51;L21
J3;115;GND;---
J3;116;GND;---
J3;117;MIO58;F18
J3;118;MIO52;G18
J3;119;MIO59;E17
J3;120;MIO53;D16
J3;121;MIO60;C17
J3;122;MIO54;F17
J3;123;MIO61;D17
J3;124;MIO55;B16
J3;125;MIO62;A17
J3;126;MIO56;C16
J3;127;MIO63;E18
J3;128;MIO57;A16
J3;129;GND;---
J3;130;GND;---
J3;131;MIO64;E19
J3;132;MIO70;C19
J3;133;MIO65;A18
J3;134;MIO71;B19
J3;135;MIO66;G19
J3;136;MIO72;G20
J3;137;MIO67;B18
J3;138;MIO73;G21
J3;139;MIO68;C18
J3;140;MIO74;D20
J3;141;MIO69;D19
J3;142;MIO75;A19
J3;143;MIO76;B20
J3;144;MIO77;F20
J3;145;GND;---
J3;146;GND;---
J3;147;PS_1V8;---
J3;148;PS_1V8;---
J3;149;NetJ3_149;--
J3;150;NetJ3_150;--
J3;151;NetJ3_151;--
J3;152;NetJ3_152;--
J3;153;GND;---
J3;154;GND;---
J3;155;GND;---
J3;156;GND;---
J3;157;GT_DCDC;---
J3;158;GT_DCDC;---
J3;159;GT_DCDC;---
J3;160;GT_DCDC;---
J4;1;B65_T3;K5
J4;2;B64_T2;AB5
J4;3;B65_T2;P9
J4;4;B64_T3;AE4
J4;5;B65_T1;H2
J4;6;B64_T1;AH6
J4;7;B65_T0;W9
J4;8;B64_T0;AD6
J4;9;GND;---
J4;10;GND;---
J4;11;B65_L8_P;J1
J4;12;B64_L15_P;AB4
J4;13;B65_L8_N;H1
J4;14;B64_L15_N;AB3
J4;15;VREF_65;R9
J4;16;GND;---
J4;17;B65_L20_P;J6
J4;18;B64_L17_P;AB2
J4;19;B65_L20_N;H6
J4;20;B64_L17_N;AC2
J4;21;GND;---
J4;22;GND;---
J4;23;B65_L7_N;K1
J4;24;B64_L18_P;AB1
J4;25;B65_L7_P;L1
J4;26;B64_L18_N;AC1
J4;27;GND;---
J4;28;GND;---
J4;29;B65_L19_P;J5
J4;30;B64_L6_P;AB6
J4;31;B65_L19_N;J4
J4;32;B64_L6_N;AC6
J4;33;GND;---
J4;34;GND;---
J4;35;B65_L15_N;N6
J4;36;B64_L16_N;AD1
J4;37;B65_L15_P;N7
J4;38;B64_L16_P;AD2
J4;39;GND;---
J4;40;GND;---
J4;41;B65_L16_N;P6
J4;42;B64_L22_P;AE2
J4;43;B65_L16_P;P7
J4;44;B64_L22_N;AF2
J4;45;GND;---
J4;46;GND;---
J4;47;B65_L6_P;R6
J4;48;B64_L24_P;AF1
J4;49;B65_L6_N;T6
J4;50;B64_L24_N;AG1
J4;51;GND;---
J4;52;GND;---
J4;53;B65_L9_N;J2
J4;54;B64_L21_P;AE3
J4;55;B65_L9_P;K2
J4;56;B64_L21_N;AF3
J4;57;GND;---
J4;58;VCCO_64;---
J4;59;B65_L4_P;R8
J4;60;B64_L23_N;AH1
J4;61;B65_L4_N;T8
J4;62;B64_L23_P;AH2
J4;63;GND;---
J4;64;GND;---
J4;65;B65_L12_N;L2
J4;66;B64_L14_N;AC3
J4;67;B65_L12_P;L3
J4;68;B64_L14_P;AC4
J4;69;VCCO_65;---
J4;70;GND;---
J4;71;B65_L1_N;Y8
J4;72;B64_L13_N;AD4
J4;73;B65_L1_P;W8
J4;74;B64_L13_P;AD5
J4;75;GND;---
J4;76;GND;---
J4;77;B65_L11_N;K3
J4;78;B64_L12_P;AE5
J4;79;B65_L11_P;K4
J4;80;B64_L12_N;AF5
J4;81;GND;---
J4;82;GND;---
J4;83;B65_L2_N;V9
J4;84;B64_L20_N;AH3
J4;85;B65_L2_P;U9
J4;86;B64_L20_P;AG3
J4;87;GND;---
J4;88;VREF_64;AA7
J4;89;B65_L13_P;L7
J4;90;B64_L19_N;AH4
J4;91;B65_L13_N;L6
J4;92;B64_L19_P;AG4
J4;93;GND;---
J4;94;GND;---
J4;95;B65_L3_P;U8
J4;96;B64_L10_N;AG5
J4;97;B65_L3_N;V8
J4;98;B64_L10_P;AG6
J4;99;GND;---
J4;100;GND;---
J4;101;B65_L5_N;T7
J4;102;B64_L5_P;AB7
J4;103;B65_L5_P;R7
J4;104;B64_L5_N;AC7
J4;105;VCCO_65;---
J4;106;VCCO_64;---
J4;107;B65_L18_P;M8
J4;108;B64_L9_N;AH7
J4;109;B65_L18_N;L8
J4;110;B64_L9_P;AH8
J4;111;GND;---
J4;112;GND;---
J4;113;B65_L14_N;L5
J4;114;B64_L8_N;AG8
J4;115;B65_L14_P;M6
J4;116;B64_L8_P;AF8
J4;117;GND;---
J4;118;GND;---
J4;119;B65_L22_P;K8
J4;120;B64_L7_N;AH9
J4;121;B65_L22_N;K7
J4;122;B64_L7_P;AG9
J4;123;GND;---
J4;124;GND;---
J4;125;B65_L24_N;H8
J4;126;B64_L11_N;AF6
J4;127;B65_L24_P;H9
J4;128;B64_L11_P;AF7
J4;129;GND;---
J4;130;GND;---
J4;131;B65_L10_P;H4
J4;132;B64_L2_N;AE8
J4;133;B65_L10_N;H3
J4;134;B64_L2_P;AE9
J4;135;GND;---
J4;136;GND;---
J4;137;B65_L23_P;K9
J4;138;B64_L4_N;AE7
J4;139;B65_L23_N;J9
J4;140;B64_L4_P;AD7
J4;141;GND;---
J4;142;GND;---
J4;143;B65_L21_N;H7
J4;144;B64_L1_N;AD9
J4;145;B65_L21_P;J7
J4;146;B64_L1_P;AC9
J4;147;GND;---
J4;148;GND;---
J4;149;B65_L17_P;N9
J4;150;B64_L3_N;AC8
J4;151;B65_L17_N;N8
J4;152;B64_L3_P;AB8
J4;153;GND;---
J4;154;GND;---
J4;155;NetJ4_155;--
J4;156;NetJ4_156;--
J4;157;NetJ4_157;--
J4;158;NetJ4_158;--
J4;159;NetJ4_159;--
J4;160;NetJ4_160;--
